,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外,month,wod_x,さっぽろ（南北線）,さっぽろ（東豊線）,すすきの,大通（南北線）,大通（東西線）,大通（東豊線）,wod_y,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),J1,J2,J3,J4,J5
2019-04-01,3935.0,2057.0,1878.0,856.0,603.0,116.0,66.0,165.0,72.0,4,0,55586,29616,15101,42896,21767,14779,0,2.682638888888889,234.91666666666666,0.46041666666666664,0.0,0.0,2242.4545454545455,1436.5974025974026,1837.5584415584415,1514.935064935065,981.9480519480519
2019-04-02,2633.0,1253.0,1380.0,582.0,490.0,72.0,53.0,118.0,65.0,4,1,54586,30949,14449,42870,21417,15425,1,1.6347222222222222,267.5625,0.7006944444444445,0.0,0.006944444444444444,2346.155844155844,1449.025974025974,2040.3766233766235,1572.909090909091,1076.051948051948
2019-04-03,4153.0,2015.0,2138.0,809.0,904.0,97.0,64.0,185.0,79.0,4,2,55401,31131,14982,44169,21316,15375,2,1.8833333333333333,304.9166666666667,0.8729166666666667,1.0,0.5416666666666666,2329.0,1500.4545454545455,2024.8701298701299,1586.1168831168832,1116.2727272727273
2019-04-04,6800.0,3092.0,3708.0,1634.0,1188.0,158.0,113.0,486.0,129.0,4,3,56233,30839,15398,44919,21625,15031,3,4.932638888888889,223.04166666666666,0.3194444444444444,0.0,0.0,1960.3896103896104,1305.6363636363637,1778.2597402597403,1596.5194805194806,1059.4675324675325
2019-04-05,1837.0,918.0,919.0,337.0,342.0,72.0,33.0,72.0,63.0,4,4,58977,31572,18252,47744,22218,15769,4,4.65625,203.74305555555554,0.7437499999999999,1.0,0.013888888888888888,2208.5324675324673,1498.5064935064936,1916.8051948051948,1603.8181818181818,1131.3636363636363
2019-04-06,4259.0,2583.0,1676.0,879.0,485.0,61.0,60.0,101.0,90.0,4,5,49399,26182,18776,41795,16298,12529,5,4.765277777777778,319.0763888888889,1.026388888888889,2.5,0.1597222222222222,2117.948051948052,1455.1948051948052,1903.5584415584415,1547.5714285714287,1060.5584415584415
2019-04-07,7479.0,4283.0,3196.0,1893.0,875.0,81.0,95.0,158.0,94.0,4,6,37412,17870,13771,32389,12368,8680,6,5.6194444444444445,303.40277777777777,0.9159722222222223,0.0,0.0,2062.220779220779,1320.6623376623377,1756.2727272727273,1430.3116883116884,910.6493506493506
2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,52480,30550,13734,41182,20746,14792,0,4.770833333333333,333.4583333333333,1.0812499999999998,0.0,0.0,2200.6753246753246,1401.7922077922078,1975.1818181818182,1511.2597402597403,969.4935064935065
2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,53793,31268,13950,41868,20576,14660,1,5.465972222222223,331.06944444444446,1.1569444444444443,0.0,0.0,2134.0,1395.8311688311687,1806.2337662337663,1519.7662337662337,923.2337662337662
2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,54583,33268,14655,42976,21289,15638,2,6.675000000000001,276.50694444444446,0.6881944444444444,0.0,0.0,1930.7142857142858,1293.7792207792209,1802.3636363636363,1592.8701298701299,1024.8181818181818
2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,56041,32521,14646,42848,21260,14950,3,6.488888888888889,293.1666666666667,0.6402777777777778,0.0,0.0,2039.155844155844,1332.1818181818182,1712.2597402597403,1556.7922077922078,1057.155844155844
2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,61088,36056,18809,47506,22078,15637,4,7.049305555555556,261.05555555555554,0.5951388888888889,0.0,0.0,1860.2987012987012,1277.3896103896104,1733.4545454545455,1593.5064935064936,1134.1688311688313
2019-04-13,11738.0,6882.0,4856.0,3004.0,1055.0,108.0,192.0,344.0,153.0,4,5,53884,30696,20365,44468,17583,13045,5,10.442361111111111,228.73611111111111,0.4131944444444444,0.0,0.0,1453.2597402597403,1281.7532467532467,1664.2727272727273,1337.090909090909,872.038961038961
2019-04-14,11314.0,6639.0,4675.0,2797.0,1127.0,144.0,153.0,261.0,193.0,4,6,39611,23771,14727,33646,12739,9626,6,12.093055555555557,181.30555555555554,0.6791666666666667,0.0,0.0,1395.6233766233765,1235.2727272727273,1625.948051948052,1408.0389610389611,871.1818181818181
2019-04-15,1013.0,756.0,257.0,122.0,47.0,5.0,23.0,32.0,28.0,4,0,57611,33338,15040,44266,21712,15690,0,7.772916666666666,242.91666666666666,0.8125,25.5,0.0,1946.025974025974,1480.1688311688313,1884.948051948052,1621.077922077922,1129.4675324675325
2019-04-16,3450.0,2357.0,1093.0,621.0,17.0,11.0,52.0,311.0,81.0,4,1,56138,32637,15043,43578,21328,14554,1,10.631944444444445,269.6111111111111,1.1173611111111112,0.0,0.0,1621.2987012987012,1241.1948051948052,1773.1948051948052,1419.4805194805194,901.077922077922
2019-04-17,5773.0,3720.0,2053.0,1140.0,38.0,8.0,116.0,609.0,142.0,4,2,56229,32507,15472,43522,21323,14418,2,15.461111111111112,180.84027777777777,0.49513888888888885,0.0,0.0,1415.857142857143,1201.4155844155844,1500.5714285714287,1533.012987012987,1034.7532467532467
2019-04-18,3719.0,2477.0,1242.0,641.0,48.0,10.0,71.0,404.0,68.0,4,3,57275,32546,15397,43829,21715,14622,3,16.02847222222222,163.09722222222223,0.6833333333333333,0.0,0.0,1376.2207792207791,1078.9610389610389,1469.6103896103896,1528.0389610389611,1025.1168831168832
2019-04-19,1666.0,1123.0,543.0,245.0,34.0,3.0,40.0,115.0,106.0,4,4,62007,34352,19398,48561,22764,15155,4,8.749305555555557,252.06944444444446,1.0590277777777777,1.0,0.0,1808.2207792207791,1259.5194805194806,1722.7922077922078,1476.935064935065,804.4545454545455
2019-04-20,5468.0,3414.0,2054.0,1061.0,501.0,79.0,89.0,166.0,158.0,4,5,52717,27133,20718,44728,17593,12384,5,6.4118055555555555,289.06944444444446,0.9576388888888889,0.0,0.0,1828.077922077922,1170.7662337662337,1750.090909090909,1468.4675324675325,802.4025974025974
2019-04-21,9774.0,5946.0,3828.0,2263.0,886.0,127.0,148.0,245.0,159.0,4,6,40073,19467,14702,33501,12854,9036,6,9.539583333333333,211.89583333333334,0.4041666666666667,0.0,0.0,1491.012987012987,1229.7662337662337,1578.8831168831168,1443.2207792207791,813.1168831168832
2019-04-22,3388.0,2002.0,1386.0,578.0,372.0,42.0,87.0,187.0,120.0,4,0,55980,32090,14709,42267,21119,14618,0,10.118055555555555,299.1041666666667,0.8138888888888889,0.0,0.0,1608.2857142857142,1180.4415584415585,1583.3766233766235,1412.4675324675325,781.7792207792207
2019-04-23,2169.0,1499.0,670.0,298.0,40.0,5.0,56.0,182.0,89.0,4,1,56175,34054,14775,43290,21271,15561,1,8.565277777777778,151.70138888888889,0.7465277777777778,0.0,0.0,1514.7012987012988,1289.6493506493507,1548.2467532467533,1569.4545454545455,978.3376623376623
2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,56456,33712,15592,44844,21685,15657,2,15.534722222222221,189.20138888888889,0.6951388888888889,0.0,0.0,1484.1818181818182,1169.2077922077922,1529.3506493506493,1470.857142857143,974.8831168831168
2019-04-25,1787.0,1389.0,398.0,156.0,40.0,23.0,26.0,82.0,71.0,4,3,58150,34294,16176,46393,22823,16021,3,8.601388888888888,325.52777777777777,1.475,0.0,0.0,1896.948051948052,1316.1298701298701,1724.5584415584415,1495.987012987013,733.9090909090909
2019-04-26,1029.0,670.0,359.0,108.0,27.0,24.0,46.0,66.0,88.0,4,4,64887,35216,19904,51278,23362,16365,4,5.834027777777778,277.9791666666667,0.5576388888888889,2.0,0.0,2121.7012987012986,1309.5454545454545,1855.8051948051948,1545.6753246753246,846.077922077922
